listing_id,prp_id,usr_id,listing_url,localidad,provincia,barrio,direccion,lat,lng,tipo_propiedad,operacion,moneda,precio,tiene_expensas,valor_expensas,precio_m2,dormitorios,banios,ambientes,ambientes_texto,plantas,superficie_total_m2,superficie_cubierta_m2,antiguedad_anios,antiguedad_texto,cochera,amoblado,pileta,zona_escolar,barrio_privado,aire_acondicionado,calefaccion_central,telefono,internet,cable_tv,apto_credito_hipotecario,acepta_mascotas,recibe_permuta,estado_conservacion,descripcion,publicado_por,es_dueno_directo,fecha_extraccion,fuente
3344007,1193,3254,https://inmoclick.com/3254-oviedo-inmobiliaria/inmuebles/1193/ficha/departamento-en-alquiler-en-aristobulo-del-valle-591,Capital,Mendoza,Capital Mendoza,Aristobulo del valle 591,-32.8781799,-68.85560439999999,departamento,alquiler,ARS,720000,True,65000,10285.71,2,1,,,,75,70,,,Garage/Cochera,,,,,,,,,,,,,Muy Bueno,"Oviedo Inmobiliaria alquila departamento ubicado en Aristobulo del Valle 591, con living comedor, dos habitaciones con placard, balcon y cochera. Acepta mascota, expensas $65.000.",Oviedo Inmobiliaria,False,2026-09-07,inmoclick
3285356,3059,4335,https://inmoclick.com/4335-llopart-inmobiliaria/inmuebles/3059/ficha/departamento-en-alquiler-en-olascoaga-casi-vicente-gil,Capital,Mendoza,Capital Mendoza,OLASCOAGA CASI VICENTE GIL,-32.897394821897315,-68.8555189881134,departamento,alquiler,ARS,720000,False,,14117.65,2,1,3,3,2,61,51,,,Garage/Cochera,False,False,True,,,,,,,,,,Muy Bueno,"Duplex en la Quinta Seccion, zona residencial a 4 cuadras de Aristides Villanueva. Planta baja: living comedor integrado con cocina, bano completo, lavadero, patio. Planta alta: dos dormitorios con placard. No paga expensas, no acepta mascota.",Llopart Inmobiliaria,False,2026-09-07,inmoclick
argenprop-20140005,,,https://www.argenprop.com/departamento-en-alquiler-en-godoy-cruz-4-ambientes--20140005,Godoy Cruz,Mendoza,,"San Martín Sur 400, Piso 4, Godoy Cruz",,,departamento,alquiler,ARS,630000,,,9692.31,2,1,4,,,,65,15,15,,,,,,,,,,,,,,Excelente,"Excelente Departamento en San Martín Sur 499, Torre de San Vicente ""B"", Godoy Cruz. Consta de Dos dormitorios, cocina, lavadero, baño totalmente instalado, Balcón, cochera, aire acondicionado, muy cómodos placares, 61 m2. Superf., seguridad nocturna. Todo en Impecable estado.",,,2026-09-07,argenprop
argenprop-20337744,,,https://www.argenprop.com/casa-en-alquiler-en-godoy-cruz--20337744,Godoy Cruz,Mendoza,,,,,casa,alquiler,USD,1600,,,,7,6,,,,,,,,,,,,,,,,,,,,,,"EXCLUSIVA CASA DE CATEGORIA EN ALQUILER | BARRIO ESCORIAL. Excelente propiedad ubicada en Barrio Escorial, sobre calle Presidente Alvear, Godoy Cruz, junto a Jumbo, en un entorno residencial privilegiado. 7 dormitorios, 6 banos, escritorio, amplio living y comedor, cocina independiente, lavanderia, gimnasio, playroom, quincho techado, churrasquera, piscina, jardin, balcon, cochera doble.",,,2026-09-07,argenprop
