clave,fuente,usr_id,prp_id,url,fecha_scraping,fecha_publicacion,primera_vista,ultima_vista,veces_visto,dias_publicado,precio,moneda,precio_m2,superficie_cubierta_m2,superficie_total_m2,ambientes,dormitorios,banos,tipo_construccion,condicion,estado_conservacion,antiguedad,localidad,provincia,direccion,latitud,longitud,tiene_geo,dist_centro_km,zona_geo,densidad_1km,cochera,plantas,piscina,amoblado,tiene_expensas,valor_expensas,acepta_mascotas,zona_escolar,publicador,tipo_anunciante,es_dueno_directo,posible_duplicado_cruzado,motivo_sospecha,descripcion,id_publicado
inmoup:6465-837,inmoup,6465,837,https://inmoup.com.ar/6465-ahumada-inmobiliaria/inmuebles/837/ficha/departamento-en-alquiler-en-1-de-mayo-1381-piso-planta-baja-depto-2,2026-09-22,2024-10-11 12:01:44,2026-09-07,2026-09-22,3,15,500000.0,ARS,12500.0,40.0,50.0,2.0,1.0,1.0,,Alquiler,Excelente,12.0,Godoy Cruz,Mendoza,1 de Mayo 1381 Piso Planta Baja Depto 2,-32.9117328,-68.8593083,True,2.6473167555876445,3.0,74.0,Garage,,False,False,True,35000.0,False,No,Ahumada Inmobiliaria,Inmobiliaria,False,False,,"AHUMADA INMOBILIARIA ALQUILA

DEPARTAMENTO PLANTA BAJA en GODOY CRUZ

Calle 1° DE MAYO 1381– Villa Hipódromo

Comodidades:

- UN dormitorio: Con placard amplio. 

- Cocina-comedor: Con Bajo-mesada y alacena. 

- Baño completo.

- Con Patio de luz.

-Con cochera cerrada para un solo vehículo.

- SE ALQUILA SIN LOS ELECTRODOMESTICOS DE HELADERA Y LAVARROPAS .

CANON inicial de alquiler: $ 500.000.- Mensuales.

Contrato Locación por 24 meses.

Ajuste TRIMESTRAL por índice IPC (índice precios consumidor)

Servicios a cargo del Locatario:

Luz, Gas, Agua y cloacas, Municipalidad, Expensas comunes y Seguro Contra Incendios.

Expensas comunes: $35.000.- mensual variable

REQUISITOS a cumplir por el interesado:

* Justificación fehaciente de Ingresos de los locatarios (bono sueldo, 
 monotributo o ingresos brutos).

	* NO se tomarán en cuenta Certificaciones de Ingresos emitidas por
 Profesionales contables.

* Presentar un garante propietario.
	* La propiedad debe figurar inscripta a nombre del garante en el Registro 
 de la Propiedad.
	* Si el garante es jubilado, debe poseer más de un inmueble para ser
 aceptado como garante.
	* Si el garante es de estado civil: casado, se solicitará la firma de ambos 
 cónyuges.

* Presentar uno o más garantes con bono de sueldo.
	* La sumatoria de los bonos debe triplicar el monto inicial de alquiler.

* Tanto Locatarios como Garantes no deben encontrarse como morosos en el 
 Banco Central .

* No se aceptarán Locatarios y Garantes que estén inhibidos.

* No se aceptarán Garantías compradas ( son aquellas personas que le cobran
 al Locatario para servirle de Garante)

* No se admiten mascotas.",
inmoup:682-6299,inmoup,682,6299,https://inmoup.com.ar/682-contacto-propiedades/inmuebles/6299/ficha/departamento-en-alquiler-en-rodriguez-y-av-emilio-civit,2026-09-22,2026-08-26 12:55:03,2026-09-07,2026-09-22,4,15,1000.0,USD,6.802721088435374,147.0,147.0,,3.0,2.0,,Alquiler,Excelente,,Capital,Mendoza,RODRIGUEZ Y AV. EMILIO CIVIT,-32.8882277,-68.85257159999999,True,0.6939675829304495,3.0,313.0,Garage,,,False,True,90000.0,False,,Contacto Propiedades,Inmobiliaria,False,True,,"CONTACTO PROPIEDADES INMOBILIARIA

ALQUILA DEPARTAMENTO EN CIUDAD.

Ubicado en un complejo del corazón de la Quinta sección, excelente zona. A metros de Av. Emilio civit.

Sup. Total: 147 m2

Primer piso por escalera

Distribuido en una planta:

-Living 
-Cocina
-3 dormitorios
-2 baños
-Cochera

Observaciones:
-Paga expensas (valor agosto 2026 $90.000)
-Aire acondicionado

Contactanos por WhatsApp para solicitar mayor información.

CONTACTO PROPIEDADES INMOBILIARIA más de 50 años de trayectoria.
Seguinos en redes y enterate de todas las novedades!
Instagram: contactoinmobiliaria
Facebook: contactopropiedadesinmo
Web: www.contactopropiedades.com

*La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados en esta publicación*",
inmoup:60020-90,inmoup,60020,90,https://inmoup.com.ar/60020-guillermo-rooney/inmuebles/90/ficha/departamento-en-alquiler-en-peru-y-sarmiento,2026-09-22,2026-08-22 22:12:10,2026-09-22,2026-09-22,1,0,690000.0,ARS,17250.0,40.0,40.0,3.0,1.0,1.0,,Alquiler,Muy Bueno,,Capital,Mendoza,Peru y Sarmiento,-32.88950388751444,-68.84855178339767,True,0.2945990567785724,3.0,381.0,Sin Cochera,,,,True,63000.0,True,,Guillermo rooney,Inmobiliaria,False,False,,"GUILLERMO ROONEY ALQUILA

En una ubicación privilegiada del centro, se encuentra este departamento en alquiler. Ubicado a tan solo una cuadra de las calles Belgrano y Emilio Civit, y a pocos pasos de la calle Sarmiento, este inmueble se destaca por su comodidad y luminosidad.

El departamento, situado en cuarto piso, cuenta con living con cocina incorporada, 1 dormitorio, baño completo. 

Entre sus comodidades, se destaca la presencia de calefacción central y aire acondicionado, posee cortinas, amplio placard en dormitorio. . 

El edificio donde se encuentra el departamento también ofrece un SUM en el último piso, ideal para realizar reuniones o eventos. La propiedad se encuentra en excelente estado de conservación, listo para habitar.

El precio de alquiler es de $ 690.000, con aumentos trimestrales ajustados por índice IPC. Se requiere un mes de depósito en dólares, además del mes de alquiler y la comisión inmobiliaria. Los requisitos incluyen ingresos comprobables del inquilino y dos garantes, o la posibilidad de optar por un seguro de caución.

¡No pierdas la oportunidad de vivir en este hermoso y cómodo departamento en una de las zonas más buscadas de Mendoza Capital!",
inmoup:60020-89,inmoup,60020,89,https://inmoup.com.ar/60020-guillermo-rooney/inmuebles/89/ficha/departamento-en-alquiler-en-italia-1435,2026-09-22,2026-08-12 12:07:49,2026-09-07,2026-09-22,3,15,380000.0,ARS,12666.666666666666,30.0,40.0,,1.0,1.0,,Alquiler,Muy Bueno,12.0,Godoy Cruz,Mendoza,Italia 1435,-32.9397181,-68.855516,True,5.514535674953378,5.0,31.0,Sin Cochera,,,,True,23000.0,False,,Guillermo rooney,Inmobiliaria,False,False,,"ALQUILO DEPARTAMENTO EN PLANTA BAJA

Ubicado en calle Italia entre José Ingenieros e Ituzaingó.

Consta de estar con cocina incorporada, baño completo, 1 dormitorio, patio.

Complejo muy bien ubicado, totalmente enrejado. Cerca de distintas arterias comerciales, cerca de Universidad Católica.
No se acepta mascotas.

PRECIO: $ 380.000

Condiciones: Contrato por 24 meses. Actualizaciones cuatrimestrales por índice ICL.
Requisitos: ingresos comprobables del interesado, 2 garantías (con bonos, propiedades o seguro de caución).
Se abona mes de alquiler, mes de deposito, comisión inmobiliaria.",
inmoup:60020-75,inmoup,60020,75,https://inmoup.com.ar/60020-guillermo-rooney/inmuebles/75/ficha/departamento-en-alquiler-en-bravo-y-santa-cruz,2026-09-22,2026-09-09 15:11:33,2026-09-22,2026-09-22,1,0,550000.0,ARS,15277.777777777776,36.0,36.0,2.0,1.0,1.0,,Alquiler,Excelente,2.0,Godoy Cruz,Mendoza,Bravo y Santa Cruz,-32.942459026782366,-68.8563811785389,True,5.828517133068385,5.0,36.0,Sin Cochera,,,,True,27800.0,False,,Guillermo rooney,Inmobiliaria,False,False,,"Alquilo excelente departamento nuevo

Ubicado en 2° Piso por escalera

Posee estar comedor con cocina incorporada, baño completo, 1 dormitorio.

Totalmente equipado: aire acondicionado en living y dormitorio. horno eléctrico y anafe eléctrico. Luminarias. Placard en el dormitorio. baño con mampara, espejo. Totalmente eléctrico

Precio: $ 550.000
(El valor incluye Aguas Mendocinas y Municipalidad)

Expensas $ 27.800 aproximadamente

Contrato por 24 meses con actualizaciones cada 4 meses (índice IPC)

Requisitos: ingresos comprobables de interesado y 2 garantes (bono y/o propietario, seguro de caución)",
inmoup:5587-713,inmoup,5587,713,https://inmoup.com.ar/5587-pani-sar-sar-inmobiliaria/inmuebles/713/ficha/departamento-en-alquiler-en-gutierrez-251,2026-09-22,2026-08-19 17:07:52,2026-09-07,2026-09-22,3,15,530000.0,ARS,8833.333333333334,60.0,100.0,,2.0,1.0,,Alquiler,Muy Bueno,,San Martin,Mendoza,GUTIÉRREZ 251,-33.08995357324088,-68.47176090080261,True,41.320280395543335,-1.0,7.0,Garage/Cochera,1.0,,,False,,True,,PANI SAR SAR INMOBILIARIA,Inmobiliaria,False,True,,"PANI SAR SAR INMOBILIARIA ALQUILA DEPTO O PEQUEÑA CASA EN EN CENTRO DE SAN MARTÍN, SOBRE CALLE GUTIÉRREZ 251.

EL INMUEBLE CUENTA CON COCHERA Y PATIO FRONTAL, COCINA COMEDOR INTEGRADA, 2 DORMITORIOS AMPLIOS CON PLACARES, BAÑO Y PATIO TRASERO.

TODOS LOS SERVICIOS. ( LUZ, AGUA, CLOACAS Y GAS NATURAL)

LOS CONTRATOS SE REALIZAN POR 2 AÑOS CON REAJUSTES CUATRIMESTRALES CONFORME AL ÍNDICE DE CONTRATOS DE LOCACIÓN.

REQUISITOS PARA ALQUILAR:
- TENER RECIBO DE SUELDO, MONOTRIBUTO O SER RESPONSABLE INSCRIPTO.
- DOS GARANTES CON LOS MISMOS REQUISITOS.
- MES DE ALQUILER.
- MES DE DEPÓSITO EN GARANTÍA.
- HONORARIOS PARA INMOBILIARIA.
-CERTIFICACIÓN DE FIRMAS A CARGO DE LOCATARIO",
inmoup:5587-608,inmoup,5587,608,https://inmoup.com.ar/5587-pani-sar-sar-inmobiliaria/inmuebles/608/ficha/departamento-en-alquiler-en-agustin-alvarez-177,2026-09-22,2026-08-19 16:26:29,2026-09-07,2026-09-22,3,15,380000.0,ARS,12666.666666666666,30.0,30.0,3.0,1.0,1.0,,Alquiler,Muy Bueno,10.0,San Martin,Mendoza,AGUSTÍN ALVAREZ 177,-33.0909324,-68.4736473,True,41.23033315257455,-1.0,7.0,Garage/Cochera,1.0,,,True,20000.0,False,,PANI SAR SAR INMOBILIARIA,Inmobiliaria,False,True,,"PANI SAR SAR INMOBILIARIA ALQUILA DEPARTAMENTO EN EL CENTRO DE SAN MARTÍN, SOBRE CALLE AGUSTÍN ÁLVAREZ 177 EN COMPLEJO CERRADO. 

EL MISMO CUENTA CON COCINA COMEDOR, 1 DORMITORIO CON PLACAR, BAÑO Y COCHERA. 

POSEE COCINA CON GAS ENVASADO Y TERMOTANTQUE ELÉCTRICO. 

NO TIENE GAS NATURAL

EXPENSAS: $20.000

CONDICIONES PARA ALQUILAR:

LOS CONTRATOS SE REALIZAN POR 2 AÑOS CON REAJUSTES CUATRIMESTRALES CONFORME AL ÍNDICE DE CONTRATOS DE LOCACIÓN.

REQUISITOS PARA ALQUILAR:
- TENER RECIBO DE SUELDO, MONOTRIBUTO O SER RESPONSABLE INSCRIPTO.
- DOS GARANTES CON LOS MISMOS REQUISITOS.
- MES DE ALQUILER.
- MES DE DEPÓSITO EN GARANTÍA.
- HONORARIOS PARA INMOBILIARIA.
-CERTIFICACIÓN DE FIRMAS A CARGO DE LOCATARIO.",
inmoup:5586-570,inmoup,5586,570,https://inmoup.com.ar/5586-marina-pittari-inmobiliaria/inmuebles/570/ficha/departamento-en-alquiler-en-beltran-1650-godoy-cruz,2026-09-22,2026-09-21 12:24:52,2026-09-22,2026-09-22,1,0,800000.0,ARS,11428.57142857143,70.0,70.0,5.0,1.0,1.0,,Alquiler,Excelente,10.0,Godoy Cruz,Mendoza,Beltran 1650 Godoy Cruz,-32.9069161,-68.851734,True,1.8757126566595308,3.0,170.0,Garage/Cochera,1.0,True,False,True,130000.0,False,Si,MARINA PITTARI INMOBILIARIA,Inmobiliaria,False,True,,"MARINA PITTARI PROPIEDADES ALQUILA moderno departamento residencial Beltran 1650, Bombal Sur, Godoy Cruz, con una ubicación inmejorable zona residencial y comercial por excelencia, con una gran accesibilidad y conectividad a los principales Accesos a la Ciudad de Mendoza.
El edificio tiene recepción personalizada, con acceso automatizado y amplios espacios comunes ascensores, ofreciendo al edificio comodidad amplitud y luminosidad. Amenities de primer nivel con piscina, gimnasio y Sum con churrasquera. 
El dpto. se ubica en Planta Baja, consta de living comedor con luminoso ventanal al patio, cocina separada, con lavandería integrada, con muebles de guardado bajo mesada y alacenas, bachas empotradas griferías, un dormitorio con placares a medida, baño completo. Los pisos de porcelanatos, carpintería exterior simple, carpintería interior madera. Todas sus aberturas con rejas. Cochera en Subsuelo techada.
Se alquila con cocina 4 hornallas a gas, Termotanque, portero eléctrico, campana extractor, A/C en dependencias, luminarias.
Actualización trimestral IPC
Disponibilidad inmediata",
inmoup:5586-569,inmoup,5586,569,https://inmoup.com.ar/5586-marina-pittari-inmobiliaria/inmuebles/569/ficha/departamento-en-alquiler-en-quintana-267-godoy-cruz,2026-09-22,2026-09-01 16:20:56,2026-09-22,2026-09-22,1,0,580000.0,ARS,11600.0,50.0,50.0,3.0,1.0,1.0,,Alquiler,Excelente,5.0,Godoy Cruz,Mendoza,QUINTANA 267 GODOY CRUZ,-32.9217738,-68.8450991,True,3.444750913197593,5.0,116.0,Garage/Cochera,2.0,,False,True,40000.0,True,Si,MARINA PITTARI INMOBILIARIA,Inmobiliaria,False,True,,"MARINA PITTARI PROPIEDADES ALQUILA moderno departamento residencial en calle Quintana N°230, Godoy Cruz, a metros de plaza departamental y de Supermercado Carrefour, con una ubicación inmejorable y con una gran accesibilidad y conectividad a los principales Accesos a la Ciudad de Mendoza; forma parte de un complejo de 25 Departamentos, con acceso automatizado y amplios espacios comunes ofreciendo al edificio comodidad amplitud y luminosidad.

El dpto. se ubica en Segundo Piso por escalera, consta de living comedor, cocina integrada, con muebles bajo mesada y alacenas, un dormitorio con placares a medida, baño completo, bacha empotrada con griferías. Los pisos de porcelanatos, carpintería exterior simple, carpintería interior madera. Todas sus aberturas con rejas. La cochera en Planta baja techada, con salida independiente.
Se alquila con cocina 4 hornallas a gas, Termotanque, portero eléctrico, campana extractor, Calefactor a gas natural, luminarias, cortinas A/C.

Se aceptan mascotas gatos

Actualización trimestral IPC
Disponibilidad inmediata",
inmoup:5586-552,inmoup,5586,552,https://inmoup.com.ar/5586-marina-pittari-inmobiliaria/inmuebles/552/ficha/departamento-en-alquiler-en-amigorena-ciudad,2026-09-22,2026-07-06 18:41:44,2026-09-07,2026-09-22,3,15,550000.0,ARS,6875.0,80.0,80.0,5.0,2.0,1.0,,Alquiler,Excelente,14.0,Capital,Mendoza,Amigorena Ciudad,-32.891894,-68.8389211,True,0.6537052691453592,3.0,346.0,Sin Cochera,,,True,True,140000.0,True,,MARINA PITTARI INMOBILIARIA,Inmobiliaria,False,True,,"MARINA PITTARI PROPIEDADES ALQUILA impecable Departamento en calle Amigorena 56 de Ciudad, a 50 metros de calle San Martín y a pasos de la Peatonal Sarmiento, en el corazón de la Capital Mendocina, con una ubicación inmejorable a pasos de los principales centros comerciales, entidades gubernamentales y accesos viales a la Provincia. Situado en Edificio de departamento residenciales en el primer piso con recepción de ingreso en planta baja, ascensor de alta prestación y calidad. Distinguido Estilo arquitectónico.
Totalmente amoblado y equipado, con un interiorismo elegante y refinado, consta de living comedor muy amplio y luminoso con salida al balcón frontal, totalmente cerrado con aberturas de vidrios, cocina separada completa con amoblamientos en bajo mesada y alacenas de madera lustrada, muebles de guardado, lavandería independiente, dos dormitorios con placares de piso a techo, uno principal y otro secundario baño completo, con bidet y receptáculo de ducha.
Los pisos de parquet, carpintería exterior de aluminio, carpintería interior madera lustrada. Todas las aberturas con rejas.
servicios: luz, gas, agua, municipalidad, expensas. 

DISPONIBILIDAD INMEDIATA",
